altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1000.0,403.9544,-1722.2501,-874.6785,0.0,0.1502,0.0
1000.0003,359.8706,-1766.5628,-805.6548,0.0,0.1503,0.0
1000.0028,340.863,-1805.1576,-758.0605,-0.0,0.1504,0.0
1000.0051,320.1569,-1843.0338,-715.2172,0.0,0.1508,0.0
1000.0084,298.5543,-1879.3041,-677.0097,0.0,0.1514,0.0
1000.0124,276.0016,-1913.9907,-643.0093,0.0001,0.1521,0.0
1000.017,252.4791,-1947.0909,-612.8231,0.0003,0.1529,0.0
1000.0222,227.9829,-1978.6017,-586.0873,0.0004,0.1539,0.0
1000.028,202.5222,-2008.5202,-562.4653,0.0006,0.1549,0.0
1000.0345,176.1172,-2036.8437,-541.6464,0.0008,0.1561,0.0
1000.0414,148.7971,-2063.5697,-523.3436,0.0011,0.1573,0.0
1000.049,120.5989,-2088.6961,-507.2927,0.0014,0.1587,0.0
1000.057,91.5654,-2112.2219,-493.2502,0.0017,0.1601,0.0
1000.0655,61.7448,-2134.1466,-480.9922,0.002,0.1616,0.0
1000.0746,31.1893,-2154.4709,-470.3126,0.0024,0.1631,0.0
1000.0841,-0.0458,-2173.1969,-461.0223,0.0028,0.1647,0.0
1000.094,-31.9025,-2190.3278,-452.9476,0.0032,0.1664,0.0
1000.1044,-64.3206,-2205.8682,-445.929,0.0036,0.1681,0.0
1000.1153,-97.2388,-2219.8244,-439.8205,0.0041,0.1698,0.0
1000.1266,-130.5942,-2232.204,-434.4882,0.0046,0.1716,0.0
1000.1382,-164.3237,-2243.0167,-429.8097,0.0051,0.1734,0.0
1000.1503,-198.3634,-2252.2734,-425.6729,0.0057,0.1752,0.0
1000.1628,-232.6494,-2259.9869,-421.9755,0.0062,0.177,0.0
1000.1757,-267.1181,-2266.1719,-418.6241,0.0068,0.1788,0.0
1000.189,-301.706,-2270.8446,-415.5334,0.0074,0.1807,0.0
1000.2027,-336.3501,-2274.0229,-412.6261,0.008,0.1825,0.0
1000.2167,-370.9884,-2275.7265,-409.8316,0.0087,0.1843,0.0
1000.2311,-405.5595,-2275.9767,-407.0861,0.0094,0.1861,0.0
1000.2458,-440.003,-2274.7965,-404.3317,0.0101,0.1879,0.0
1000.2609,-474.2596,-2272.2102,-401.5163,0.0108,0.1896,0.0
1000.2763,-508.2714,-2268.244,-398.5929,0.0115,0.1914,0.0
1000.2921,-541.9816,-2262.9253,-395.5193,0.0122,0.1931,0.0
1000.3082,-575.335,-2256.2829,-392.258,0.013,0.1948,0.0
1000.3246,-608.2776,-2248.347,-388.7753,0.0138,0.1964,0.0
1000.3414,-640.7574,-2239.149,-385.042,0.0146,0.198,0.0
1000.3584,-672.7237,-2228.7215,-381.0319,0.0154,0.1996,0.0
1000.3758,-704.1276,-2217.0981,-376.7227,0.0162,0.2011,0.0
1000.3935,-734.9221,-2204.3136,-372.0949,0.0171,0.2026,0.0
1000.4114,-765.0618,-2190.4035,-367.1322,0.0179,0.204,0.0
1000.4297,-794.5033,-2175.4042,-361.821,0.0188,0.2054,0.0
1000.4483,-823.2049,-2159.353,-356.1501,0.0197,0.2067,0.0
